학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003507,서울교육대학교부설초등학교,1953,남여공학,주간,서울특별시,초등학교,국립
A000003508,서울대학교사범대학부설중학교,1946,남,주간,서울특별시,중학교,국립
A000003520,국립국악고등학교,1955,남여공학,주간,서울특별시,고등학교,국립
A000003530,서울대학교사범대학부설고등학교,1946,남여공학,주간,서울특별시,고등학교,국립
A000003531,서울대학교사범대학부설여자중학교,1969,여,주간,서울특별시,중학교,국립
A000003532,서울대학교사범대학부설초등학교,1895,남여공학,주간,서울특별시,초등학교,국립
A000003547,국립전통예술고등학교,1960,남여공학,주간,서울특별시,고등학교,국립
A000003550,가락고등학교,1988,남여공학,주간,서울특별시,고등학교,공립
A000003551,강동고등학교,1984,남여공학,주간,서울특별시,고등학교,사립
A000003552,강서고등학교,1983,남,주간,서울특별시,고등학교,사립
A000003553,개포고등학교,1987,남여공학,주간,서울특별시,고등학교,공립
A000003554,건국대학교사범대학부속고등학교,1980,남여공학,주간,서울특별시,고등학교,사립
A000003555,경기고등학교,1900,남,주간,서울특별시,고등학교,공립
A000003556,경기여자고등학교,1908,여,주간,서울특별시,고등학교,공립
A000003557,경동고등학교,1940,남,주간,서울특별시,고등학교,공립
A000003558,경문고등학교,1980,남,주간,서울특별시,고등학교,사립
A000003559,경복고등학교,1921,남,주간,서울특별시,고등학교,공립
A000003560,경복여자고등학교,1993,여,주간,서울특별시,고등학교,사립
A000003561,경성고등학교,1967,남,주간,서울특별시,고등학교,사립
A000003562,경신고등학교,1885,남,주간,서울특별시,고등학교,사립
A000003563,경인고등학교,2002,남여공학,주간,서울특별시,고등학교,공립
A000003564,경희고등학교,1959,남,주간,서울특별시,고등학교,사립
A000003565,경희여자고등학교,1960,여,주간,서울특별시,고등학교,사립
A000003566,계성고등학교,1944,남여공학,주간,서울특별시,고등학교,사립
A000003567,고려대학교사범대학부속고등학교,1968,남,주간,서울특별시,고등학교,사립
A000003568,고척고등학교,1984,남여공학,주간,서울특별시,고등학교,공립
A000003569,공항고등학교,1982,남여공학,주간,서울특별시,고등학교,공립
A000003570,관악고등학교,1955,남여공학,주간,서울특별시,고등학교,공립
A000003571,광남고등학교,1986,남여공학,주간,서울특별시,고등학교,공립
A000003572,광문고등학교,1985,남여공학,주간,서울특별시,고등학교,사립
A000003573,광성고등학교,1894,남,주간,서울특별시,고등학교,사립
A000003574,광신고등학교,1987,남여공학,주간,서울특별시,고등학교,사립
A000003575,광양고등학교,1986,남여공학,주간,서울특별시,고등학교,공립
A000003576,광영고등학교,1985,남,주간,서울특별시,고등학교,사립
A000003577,광영여자고등학교,1984,여,주간,서울특별시,고등학교,사립
A000003578,구로고등학교,1981,남여공학,주간,서울특별시,고등학교,공립
A000003579,구일고등학교,1990,남여공학,주간,서울특별시,고등학교,공립
A000003580,압구정고등학교,1986,남여공학,주간,서울특별시,고등학교,공립
A000003581,금옥여자고등학교,1981,여,주간,서울특별시,고등학교,공립
A000003582,금천고등학교,1983,남여공학,주간,서울특별시,고등학교,공립
A000003583,남강고등학교,1972,남,주간,서울특별시,고등학교,사립
A000003584,노원고등학교,1988,남여공학,주간,서울특별시,고등학교,공립
A000003585,단국대학교사범대학부속고등학교,1983,남,주간,서울특별시,고등학교,사립
A000003586,당곡고등학교,1983,남여공학,주간,서울특별시,고등학교,공립
A000003587,대광고등학교,1947,남,주간,서울특별시,고등학교,사립
A000003588,대성고등학교,1969,남,주간,서울특별시,고등학교,사립
A000003589,대신고등학교,1938,남,주간,서울특별시,고등학교,사립
A000003590,대영고등학교,1987,남여공학,주간,서울특별시,고등학교,공립
A000003591,대원고등학교,1977,남,주간,서울특별시,고등학교,사립
A000003592,대원여자고등학교,1982,여,주간,서울특별시,고등학교,사립
A000003593,대일고등학교,1972,남,주간,서울특별시,고등학교,사립
A000003594,대진고등학교,1984,남,주간,서울특별시,고등학교,사립
A000003595,대진여자고등학교,1988,여,주간,서울특별시,고등학교,사립
A000003596,대진디자인고등학교,1994,남여공학,주간,서울특별시,고등학교,사립
A000003597,덕성여자고등학교,1920,여,주간,서울특별시,고등학교,사립
A000003598,덕원여자고등학교,1978,여,주간,서울특별시,고등학교,사립
A000003599,독산고등학교,2001,남여공학,주간,서울특별시,고등학교,공립
A000003600,동국대학교사범대학부속고등학교,1947,남,주간,서울특별시,고등학교,사립
A000003601,동덕여자고등학교,1910,여,주간,서울특별시,고등학교,사립
A000003602,동명여자고등학교,1921,여,주간,서울특별시,고등학교,사립
A000003603,동북고등학교,1953,남,주간,서울특별시,고등학교,사립
A000003604,동성고등학교,1907,남,주간,서울특별시,고등학교,사립
A000003605,동일여자고등학교,1972,여,주간,서울특별시,고등학교,사립
A000003606,서울매그넷고등학교,1987,여,주간,서울특별시,고등학교,사립
A000003607,동작고등학교,1991,남여공학,주간,서울특별시,고등학교,공립
A000003608,둔촌고등학교,1997,남여공학,주간,서울특별시,고등학교,공립
A000003609,마포고등학교,1953,남,주간,서울특별시,고등학교,사립
A000003610,면목고등학교,1982,남,주간,서울특별시,고등학교,공립
A000003611,명덕고등학교,1984,남,주간,서울특별시,고등학교,사립
A000003612,명덕여자고등학교,1983,여,주간,서울특별시,고등학교,사립
A000003613,동국대학교사범대학부속여자고등학교,1930,여,주간,서울특별시,고등학교,사립
A000003614,명일여자고등학교,1984,여,주간,서울특별시,고등학교,공립
A000003615,명지고등학교,1948,남여공학,주간,서울특별시,고등학교,사립
A000003616,무학여자고등학교,1940,여,주간,서울특별시,고등학교,공립
A000003617,서울문영여자고등학교,1991,여,주간,서울특별시,고등학교,사립
A000003618,문일고등학교,1974,남,주간,서울특별시,고등학교,사립
A000003619,미림여자고등학교,1967,여,주간,서울특별시,고등학교,사립
A000003620,반포고등학교,1983,남여공학,주간,서울특별시,고등학교,공립
A000003621,배명고등학교,1949,남,주간,서울특별시,고등학교,사립
A000003622,배문고등학교,1955,남,주간,서울특별시,고등학교,사립
A000003623,배재고등학교,1885,남,주간,서울특별시,고등학교,사립
A000003624,배화여자고등학교,1898,여,주간,서울특별시,고등학교,사립
A000003625,백암고등학교,1984,남여공학,주간,서울특별시,고등학교,사립
A000003626,보성고등학교,1906,남,주간,서울특별시,고등학교,사립
A000003627,삼성고등학교,1986,남여공학,주간,서울특별시,고등학교,공립
A000003628,상계고등학교,1987,남,주간,서울특별시,고등학교,공립
A000003629,상명대학교사범대학부속여자고등학교,1966,여,주간,서울특별시,고등학교,사립
A000003630,상명고등학교,1937,남여공학,주간,서울특별시,고등학교,사립
A000003631,상문고등학교,1972,남,주간,서울특별시,고등학교,사립
A000003632,상일여자고등학교,1979,여,주간,서울특별시,고등학교,사립
A000003633,서라벌고등학교,1956,남,주간,서울특별시,고등학교,사립
A000003634,서문여자고등학교,1972,여,주간,서울특별시,고등학교,사립
A000003635,서울고등학교,1946,남,주간,서울특별시,고등학교,공립
A000003636,서울미술고등학교,1971,남여공학,주간,서울특별시,고등학교,사립
A000003637,서울세종고등학교,1958,남여공학,주간,서울특별시,고등학교,사립
A000003638,서울여자고등학교,1958,여,주간,서울특별시,고등학교,공립
A000003639,서울체육고등학교,1971,남여공학,주간,서울특별시,고등학교,공립
A000003641,서초고등학교,1984,남여공학,주간,서울특별시,고등학교,공립
A000003642,석관고등학교,1982,남여공학,주간,서울특별시,고등학교,공립
A000003643,선덕고등학교,1982,남,주간,서울특별시,고등학교,사립
A000003644,선일여자고등학교,1971,여,주간,서울특별시,고등학교,사립
A000003645,선정고등학교,1950,남여공학,주간,서울특별시,고등학교,사립
A000003646,성남고등학교,1938,남,주간,서울특별시,고등학교,사립
A000003647,성동고등학교,1949,남,주간,서울특별시,고등학교,공립
A000003648,성보고등학교,1981,남,주간,서울특별시,고등학교,사립
A000003649,성신여자고등학교,1936,여,주간,서울특별시,고등학교,사립
A000003650,성심여자고등학교,1960,여,주간,서울특별시,고등학교,사립
A000003651,세화고등학교,1986,남,주간,서울특별시,고등학교,사립
A000003652,세화여자고등학교,1977,여,주간,서울특별시,고등학교,사립
A000003653,송곡고등학교,1986,남,주간,서울특별시,고등학교,사립
A000003654,송곡여자고등학교,1972,여,주간,서울특별시,고등학교,사립
A000003655,수도여자고등학교,1946,여,주간,서울특별시,고등학교,공립
A000003656,수락고등학교,2002,남여공학,주간,서울특별시,고등학교,공립
A000003657,숙명여자고등학교,1906,여,주간,서울특별시,고등학교,사립
A000003658,숭문고등학교,1946,남,주간,서울특별시,고등학교,사립
A000003659,숭실고등학교,1897,남,주간,서울특별시,고등학교,사립
A000003660,숭의여자고등학교,1903,여,주간,서울특별시,고등학교,사립
A000003661,신광여자고등학교,1953,여,주간,서울특별시,고등학교,사립
A000003662,신림고등학교,1986,남여공학,주간,서울특별시,고등학교,공립
A000003663,신목고등학교,1986,남여공학,주간,서울특별시,고등학교,공립
A000003664,신일고등학교,1966,남,주간,서울특별시,고등학교,사립
A000003665,양재고등학교,1990,남여공학,주간,서울특별시,고등학교,공립
A000003666,양정고등학교,1905,남,주간,서울특별시,고등학교,사립
A000003667,양천고등학교,1984,남,주간,서울특별시,고등학교,사립
A000003668,목동고등학교,1989,여,주간,서울특별시,고등학교,사립
A000003669,언남고등학교,1986,남여공학,주간,서울특별시,고등학교,공립
A000003670,여의도고등학교,1972,남,주간,서울특별시,고등학교,공립
A000003671,여의도여자고등학교,1984,여,주간,서울특별시,고등학교,공립
A000003672,염광고등학교,1982,남여공학,주간,서울특별시,고등학교,사립
A000003673,영동고등학교,1972,남,주간,서울특별시,고등학교,사립
A000003674,영동일고등학교,1977,남여공학,주간,서울특별시,고등학교,사립
A000003675,영등포고등학교,1959,남,주간,서울특별시,고등학교,공립
A000003676,영등포여자고등학교,1953,여,주간,서울특별시,고등학교,공립
A000003677,영락고등학교,1959,남여공학,주간,서울특별시,고등학교,사립
A000003678,서울영상고등학교,1961,남여공학,주간,서울특별시,고등학교,사립
A000003679,영신고등학교,1990,남여공학,주간,서울특별시,고등학교,공립
A000003680,영신여자고등학교,1987,여,주간,서울특별시,고등학교,사립
A000003681,영일고등학교,1974,남,주간,서울특별시,고등학교,사립
A000003682,영파여자고등학교,1972,여,주간,서울특별시,고등학교,사립
A000003683,영훈고등학교,1972,남여공학,주간,서울특별시,고등학교,사립
A000003684,예일여자고등학교,1965,여,주간,서울특별시,고등학교,사립
A000003685,오금고등학교,1987,남여공학,주간,서울특별시,고등학교,공립
A000003686,오류고등학교,1999,여,주간,서울특별시,고등학교,사립
A000003687,오산고등학교,1907,남,주간,서울특별시,고등학교,사립
A000003688,용문고등학교,1946,남,주간,서울특별시,고등학교,사립
A000003689,용산고등학교,1946,남,주간,서울특별시,고등학교,공립
A000003690,용화여자고등학교,1987,여,주간,서울특별시,고등학교,사립
A000003691,우신고등학교,1974,남,주간,서울특별시,고등학교,사립
A000003692,은광여자고등학교,1955,여,주간,서울특별시,고등학교,사립
A000003693,은평메디텍고등학교,1970,남여공학,주간,서울특별시,고등학교,사립
A000003694,이화여자고등학교,1886,여,주간,서울특별시,고등학교,사립
A000003695,이화여자대학교사범대학부속이화금란고등학교,1958,남여공학,주간,서울특별시,고등학교,사립
A000003696,인창고등학교,1953,남,주간,서울특별시,고등학교,사립
A000003697,인헌고등학교,1984,남여공학,주간,서울특별시,고등학교,공립
A000003699,자양고등학교,1983,남여공학,주간,서울특별시,고등학교,공립
A000003700,잠신고등학교,1988,남여공학,주간,서울특별시,고등학교,공립
A000003701,잠실고등학교,1982,남,주간,서울특별시,고등학교,공립
A000003702,잠실여자고등학교,1982,여,주간,서울특별시,고등학교,사립
A000003703,장충고등학교,1947,남,주간,서울특별시,고등학교,사립
A000003704,장훈고등학교,1964,남,주간,서울특별시,고등학교,사립
A000003705,재현고등학교,1978,남,주간,서울특별시,고등학교,사립
A000003706,정신여자고등학교,1887,여,주간,서울특별시,고등학교,사립
A000003707,정의여자고등학교,1976,여,주간,서울특별시,고등학교,사립
A000003708,중경고등학교,1982,남여공학,주간,서울특별시,고등학교,공립
A000003709,중동고등학교,1906,남,주간,서울특별시,고등학교,사립
A000003710,중산고등학교,1994,남,주간,서울특별시,고등학교,사립
A000003711,중앙고등학교,1908,남,주간,서울특별시,고등학교,사립
A000003712,중앙대학교사범대학부속고등학교,1934,남여공학,주간,서울특별시,고등학교,사립
A000003713,중앙여자고등학교,1940,여,주간,서울특별시,고등학교,사립
A000003714,중화고등학교,1987,남여공학,주간,서울특별시,고등학교,공립
A000003715,진명여자고등학교,1906,여,주간,서울특별시,고등학교,사립
A000003716,진선여자고등학교,1976,여,주간,서울특별시,고등학교,사립
A000003717,창덕여자고등학교,1941,여,주간,서울특별시,고등학교,공립
A000003718,창동고등학교,2002,남여공학,주간,서울특별시,고등학교,공립
A000003719,창문여자고등학교,1974,여,주간,서울특별시,고등학교,사립
A000003720,청담고등학교,1990,남여공학,주간,서울특별시,고등학교,공립
A000003721,청량고등학교,1981,남여공학,주간,서울특별시,고등학교,공립
A000003722,청원고등학교,1988,남,주간,서울특별시,고등학교,사립
A000003723,청원여자고등학교,2001,여,주간,서울특별시,고등학교,사립
A000003724,충암고등학교,1968,남,주간,서울특별시,고등학교,사립
A000003725,태릉고등학교,1984,남여공학,주간,서울특별시,고등학교,공립
A000003726,풍문고등학교,1944,남여공학,주간,서울특별시,고등학교,사립
A000003727,한가람고등학교,1996,남여공학,주간,서울특별시,고등학교,사립
A000003728,한강미디어고등학교,1995,남여공학,주간,서울특별시,고등학교,공립
A000003729,한광고등학교,1987,남여공학,주간,서울특별시,고등학교,사립
A000003730,한국삼육고등학교,1949,남여공학,주간,서울특별시,고등학교,사립
A000003732,한서고등학교,1984,남여공학,주간,서울특별시,고등학교,사립
A000003733,한성고등학교,1928,남,주간,서울특별시,고등학교,사립
A000003734,한성여자고등학교,1945,여,주간,서울특별시,고등학교,사립
A000003735,한양대학교사범대학부속고등학교,1960,남여공학,주간,서울특별시,고등학교,사립
A000003736,한영고등학교,1933,남여공학,주간,서울특별시,고등학교,사립
A000003737,현대고등학교,1984,남여공학,주간,서울특별시,고등학교,사립
A000003738,혜성여자고등학교,1982,여,주간,서울특별시,고등학교,사립
A000003739,혜원여자고등학교,1972,여,주간,서울특별시,고등학교,사립
A000003740,혜화여자고등학교,1966,여,주간,서울특별시,고등학교,공립
A000003741,홍익대학교사범대학부속고등학교,1954,남,주간,서울특별시,고등학교,사립
A000003742,홍익대학교사범대학부속여자고등학교,1967,여,주간,서울특별시,고등학교,사립
A000003743,화곡고등학교,1978,남,주간,서울특별시,고등학교,사립
A000003744,환일고등학교,1947,남,주간,서울특별시,고등학교,사립
A000003745,휘경여자고등학교,1975,여,주간,서울특별시,고등학교,사립
A000003746,휘문고등학교,1906,남,주간,서울특별시,고등학교,사립
A000003747,서울과학고등학교,1988,남여공학,주간,서울특별시,고등학교,공립
A000003748,한성과학고등학교,1992,남여공학,주간,서울특별시,고등학교,공립
A000003749,대원외국어고등학교,1983,남여공학,주간,서울특별시,고등학교,사립
A000003750,대일외국어고등학교,1984,남여공학,주간,서울특별시,고등학교,사립
A000003751,명덕외국어고등학교,1991,남여공학,주간,서울특별시,고등학교,사립
A000003752,서울외국어고등학교,1993,남여공학,주간,서울특별시,고등학교,사립
A000003753,이화여자외국어고등학교,1991,여,주간,서울특별시,고등학교,사립
A000003754,한영외국어고등학교,1990,남여공학,주간,서울특별시,고등학교,사립
A000003755,서울로봇고등학교,1994,남여공학,주간,서울특별시,고등학교,공립
A000003756,강서공업고등학교,1994,남여공학,주간,서울특별시,고등학교,공립
A000003757,경기기계공업고등학교,1957,남여공학,주간,서울특별시,고등학교,공립
A000003758,광운인공지능고등학교,1934,남,주간,서울특별시,고등학교,사립
A000003759,단국대학교부속소프트웨어고등학교,1941,남,주간,서울특별시,고등학교,사립
A000003760,덕일전자공업고등학교,1994,남여공학,주간,서울특별시,고등학교,사립
A000003761,서울디자인고등학교,1955,남여공학,주간,서울특별시,고등학교,사립
A000003762,동양고등학교,1953,남,주간,서울특별시,고등학교,사립
A000003763,서울방송고등학교,1991,남여공학,주간,서울특별시,고등학교,공립
A000003764,상일미디어고등학교,1983,남여공학,주간,서울특별시,고등학교,사립
A000003765,미래산업과학고등학교,1994,남여공학,주간,서울특별시,고등학교,사립
A000003766,서울공업고등학교,1899,남여공학,주간,서울특별시,고등학교,공립
A000003767,서울디지텍고등학교,1975,남여공학,주야간,서울특별시,고등학교,사립
A000003768,서울도시과학기술고등학교,1964,남여공학,주간,서울특별시,고등학교,공립
A000003769,성동공업고등학교,1944,남여공학,주간,서울특별시,고등학교,공립
A000003770,성수공업고등학교,1998,남여공학,주간,서울특별시,고등학교,공립
A000003771,서울인공지능고등학교,1991,남여공학,주간,서울특별시,고등학교,공립
A000003772,수도전기공업고등학교,1924,남여공학,주간,서울특별시,고등학교,사립
A000003773,신진과학기술고등학교,1970,남여공학,주간,서울특별시,고등학교,사립
A000003774,영등포공업고등학교,1953,남,주간,서울특별시,고등학교,사립
A000003775,용산철도고등학교,1963,남여공학,주간,서울특별시,고등학교,공립
A000003776,유한공업고등학교,1964,남여공학,주간,서울특별시,고등학교,사립
A000003777,서울아이티고등학교,1992,남여공학,주간,서울특별시,고등학교,사립
A000003778,인덕과학기술고등학교,1963,남여공학,주간,서울특별시,고등학교,사립
A000003779,한양공업고등학교,1945,남,주간,서울특별시,고등학교,사립
A000003780,휘경공업고등학교,1997,남여공학,주간,서울특별시,고등학교,공립
A000003781,경기상업고등학교,1923,남여공학,주간,서울특별시,고등학교,공립
A000003782,서울의료보건고등학교,1971,여,주간,서울특별시,고등학교,사립
A000003783,서울동구고등학교,1942,여,주간,서울특별시,고등학교,사립
A000003784,서울컨벤션고등학교,1961,남여공학,주간,서울특별시,고등학교,사립
A000003785,서울여자상업고등학교,1926,여,주간,서울특별시,고등학교,사립
A000003786,선일빅데이터고등학교,1985,여,주간,서울특별시,고등학교,사립
A000003787,성덕고등학교,1976,남여공학,주간,서울특별시,고등학교,사립
A000003788,서울신정고등학교,1978,여,주간,서울특별시,고등학교,사립
A000003789,영락의료과학고등학교,1952,남여공학,주간,서울특별시,고등학교,사립
A000003790,일신여자상업고등학교,1956,여,주간,서울특별시,고등학교,사립
A000003791,서울정화고등학교,1908,여,주간,서울특별시,고등학교,사립
A000003792,해성국제컨벤션고등학교,1956,여,주간,서울특별시,고등학교,사립
A000003793,홍익디자인고등학교,1992,여,주간,서울특별시,고등학교,사립
A000003794,선정국제관광고등학교,1994,남여공학,주간,서울특별시,고등학교,사립
A000003795,성동글로벌경영고등학교,1961,여,주간,서울특별시,고등학교,공립
A000003796,세그루패션디자인고등학교,1974,여,주간,서울특별시,고등학교,사립
A000003797,영신간호비즈니스고등학교,1992,여,주간,서울특별시,고등학교,사립
A000003798,예일디자인고등학교,1993,여,주간,서울특별시,고등학교,사립
A000003800,덕원예술고등학교,1991,남여공학,주간,서울특별시,고등학교,사립
A000003801,서울예술고등학교,1953,남여공학,주간,서울특별시,고등학교,사립
A000003802,선화예술고등학교,1974,남여공학,주간,서울특별시,고등학교,사립
A000003804,경복비즈니스고등학교,1972,여,주간,서울특별시,고등학교,사립
A000003805,고명외식고등학교,1956,남여공학,주간,서울특별시,고등학교,사립
A000003806,서울관광고등학교,1978,남여공학,주간,서울특별시,고등학교,사립
A000003807,광신방송예술고등학교,1905,남여공학,주간,서울특별시,고등학교,사립
A000003808,예림디자인고등학교,1965,여,주간,서울특별시,고등학교,사립
A000003809,대경생활과학고등학교,1956,남여공학,주간,서울특별시,고등학교,사립
A000003810,대동세무고등학교,1925,남여공학,주간,서울특별시,고등학교,사립
A000003811,대일관광고등학교,1980,여,주간,서울특별시,고등학교,사립
A000003812,덕수고등학교,1910,남여공학,주간,서울특별시,고등학교,공립
